,CN,O,C,businessCategory,serialNumber,juristiction,issuer_CN,issuer_O,expired,notBefore,notAfter,verCode,time_collected
0,hauntedrooms.com,,,,,,R3,Let's Encrypt,False,b'20210401184030Z',b'20210630184030Z',0,1620575635.9090068
1,bigsound.org.au,,,,,,R3,Let's Encrypt,False,b'20210428164644Z',b'20210727164644Z',0,1620575638.0240078
2,*.realytics.io,,,,,,GeoTrust RSA CA 2018,DigiCert Inc,False,b'20200408000000Z',b'20220531120000Z',0,1620575638.1509695
3,*.munich-business-school.de,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,False,b'20200702000000Z',b'20220702235959Z',0,1620575639.8940523
4,*.gridserver.com,,,,,,Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",False,b'20210107184337Z',b'20220208184337Z',0,1620575640.5497785
5,sni.cloudflaressl.com,"Cloudflare, Inc.",US,,,,Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",False,b'20200804000000Z',b'20210804120000Z',0,1620575640.814213
6,testexp,testexample,US,,,,testexp,testexample,False,b'20200602054149Z',b'20300531054149Z',18,1620575641.3745859
7,*.husqvarnagroup.com,,,,,,RapidSSL RSA CA 2018,DigiCert Inc,True,b'20180124000000Z',b'20210324120000Z',10,1620575641.6433084
8,*.nationalfundingscheme.org,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,False,b'20210120000000Z',b'20220120235959Z',0,1620575641.7918675
9,*.oberberg-aktuell.de,,,,,,Thawte TLS RSA CA G1,DigiCert Inc,False,b'20200421000000Z',b'20220521120000Z',0,1620575641.9808395
12,junglesoftware.com,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",False,b'20210319000000Z',b'20210617235959Z',0,1620575644.2858438
13,aseminfoboard.org,,,,,,Amazon,Amazon,False,b'20200709000000Z',b'20210810120000Z',0,1620575651.7554474
14,totalrl.com,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",False,b'20210503000000Z',b'20210801235959Z',0,1620575652.0419028
15,faidherbe.org,,,,,,R3,Let's Encrypt,False,b'20210401034917Z',b'20210630034917Z',0,1620575652.166546
17,essentials4travel.com,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",False,b'20210314000000Z',b'20210612235959Z',0,1620575652.8488674
18,*.timeweb.ru,TimeWeb Company Limited,RU,,,,Thawte RSA CA 2018,DigiCert Inc,False,b'20200512000000Z',b'20210711120000Z',0,1620575653.3452206
19,cypherix.com,,,,,,R3,Let's Encrypt,False,b'20210428131410Z',b'20210727131410Z',0,1620575653.7980168
20,www.territoiredebelfort.fr,,,,,,R3,Let's Encrypt,False,b'20210321042321Z',b'20210619042321Z',21,1620575654.3339875
21,furucombo.app,,,,,,R3,Let's Encrypt,False,b'20210407102551Z',b'20210706102551Z',0,1620575654.4817533
22,*.xrumer.cc,,,,,,R3,Let's Encrypt,False,b'20210501140413Z',b'20210730140413Z',0,1620575654.66476
23,metakine.com,,,,,,R3,Let's Encrypt,False,b'20210504125009Z',b'20210802125009Z',0,1620575655.0522277
25,bakeaholicmama.com,bakeaholicmama.com,,,,,bakeaholicmama.com,bakeaholicmama.com,False,b'20201207191128Z',b'20251206191128Z',18,1620575655.3749325
26,sandiegocriminalattorney.com,,,,,,Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",False,b'20210508170931Z',b'20220609170931Z',0,1620575655.7317278
