,CN,O,C,businessCategory,serialNumber,juristiction,issuer_CN,issuer_O,expired,notBefore,notAfter,verCode,time_collected
0,www.abcnike.shop,,,,,,R3,Let's Encrypt,0.0,b'20210326015631Z',b'20210624015631Z',0,1620479589.395142
1,*.bangarvideo.xyz,,,,,,Let's Encrypt Authority X3,Let's Encrypt,1.0,b'20201018134251Z',b'20210116134251Z',10,1620479589.7509096
2,*.google.com,Google LLC,US,,,,GTS CA 1O1,Google Trust Services,0.0,b'20210316192807Z',b'20210608192806Z',0,1620479589.7394621
3,*.hostgator.com.br,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0.0,b'20200908000000Z',b'20210908235959Z',0,1620479589.26887
4,*.mailjet.com,Mailjet SAS,FR,,,,DigiCert SHA2 Secure Server CA,DigiCert Inc,0.0,b'20200302000000Z',b'20210514120000Z',0,1620479588.9401681
5,raa.namecheap.com,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0.0,b'20201111000000Z',b'20211129235959Z',0,1620479588.9312944
7,thetoasthost.com,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210403000000Z',b'20210702235959Z',0,1620479588.74588
9,*.web-hosting.com,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0.0,b'20200507000000Z',b'20220405235959Z',0,1620479588.9740677
11,fearless-leader.com,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210223000000Z',b'20210524235959Z',0,1620479589.6416245
12,ssl733565.cloudflaressl.com,,,,,,COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,0.0,b'20210113000000Z',b'20210722235959Z',0,1620479589.2392857
13,*.hostgator.in,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0.0,b'20200511000000Z',b'20210511235959Z',0,1620479588.702799
15,blumen-real.de,,,,,,R3,Let's Encrypt,0.0,b'20210325111316Z',b'20210623111316Z',0,1620479588.8882115
17,*.bluehost.com,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0.0,b'20210128000000Z',b'20220128235959Z',0,1620479588.6357346
19,mehrozrana.com,,,,,,R3,Let's Encrypt,0.0,b'20210411103809Z',b'20210710103809Z',0,1620479588.6250563
21,*.privatednsorg.com,,,,,,GeoTrust RSA CA 2018,DigiCert Inc,0.0,b'20200602000000Z',b'20220602120000Z',0,1620479589.0859678
22,*.000webhostapp.com,,,,,,RapidSSL RSA CA 2018,DigiCert Inc,0.0,b'20190611000000Z',b'20210710120000Z',0,1620479589.5538735
23,www.amazon-check-co-jp.c5j.top,,,,,,R3,Let's Encrypt,0.0,b'20210406182248Z',b'20210705182248Z',0,1620479588.767139
25,regency.kiwi,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",1.0,b'20200418000000Z',b'20210418235959Z',0,1620479588.952266
27,firebaseapp.com,Google LLC,US,,,,GTS CA 1O1,Google Trust Services,0.0,b'20201021175539Z',b'20211020175539Z',0,1620479588.8309817
30,www.physicianbillers.com,"Physician Billing Associates, Inc.",US,Private Organization,800684408,,Sectigo RSA Extended Validation Secure Server CA,Sectigo Limited,0.0,b'20210122000000Z',b'20220122235959Z',0,1620479589.3087754
31,rentyouracc.ru,,,,,,R3,Let's Encrypt,1.0,b'20210128112052Z',b'20210428112052Z',0,1620479588.8915408
33,srv74.niagahoster.com,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20200520000000Z',b'20210520235959Z',0,1620479589.263505
34,www.eposvztd.co.jp.pinjianfang.com,,,,,,R3,Let's Encrypt,0.0,b'20210410131437Z',b'20210709131437Z',0,1620479589.1094682
35,vrpayment.live.itonicsit.de,,,,,,R3,Let's Encrypt,0.0,b'20210217134525Z',b'20210518134525Z',0,1620479589.0768688
36,ssl712509.cloudflaressl.com,,,,,,COMODO ECC Domain Validation Secure Server CA 2,COMODO CA Limited,1.0,b'20200407000000Z',b'20201014235959Z',10,1620479588.7377079
37,*.sucuri.net,,,,,,Go Daddy Secure Certificate Authority - G2,"GoDaddy.com, Inc.",0.0,b'20190911150029Z',b'20210911150029Z',0,1620479589.5697815
39,*.sharepoint.com,Microsoft Corporation,US,,,,DigiCert Cloud Services CA-1,DigiCert Inc,0.0,b'20210205000000Z',b'20220204235959Z',0,1620479589.4735763
41,*.okitup.net,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0.0,b'20200210000000Z',b'20220209235959Z',0,1620479589.4514954
42,*.hosting.reg.ru,,,,,,AlphaSSL CA - SHA256 - G2,GlobalSign nv-sa,0.0,b'20201224114719Z',b'20220125114719Z',0,1620479588.6415913
44,*.service-now.com,"ServiceNow, Inc.",US,,,,Entrust Certification Authority - L1K,"Entrust, Inc.",0.0,b'20210105200025Z',b'20211001200024Z',0,1620479588.9172647
45,*.webhostbox.net,,,,,,Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,0.0,b'20200513000000Z',b'20220602235959Z',0,1620479588.7371633
47,sitio2.homs.cl,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210314000000Z',b'20210612235959Z',0,1620479588.5894976
48,managmentservice.tk,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20210320000000Z',b'20210618235959Z',0,1620479589.563633
49,t.ssl.fastly.net,"Fastly, Inc",US,,,,GlobalSign CloudSSL CA - SHA256 - G3,GlobalSign nv-sa,0.0,b'20210331211042Z',b'20220401211042Z',0,1620479589.3581848
50,,ddos-guard,EU,,,,,ddos-guard,0.0,b'20180328192613Z',b'20280325192613Z',18,1620479589.2297192
52,cpanel10wh.bkk1.cloud.z.com,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",0.0,b'20200903000000Z',b'20210903235959Z',0,1620479589.4440937
54,agroteck.mx,,,,,,"cPanel, Inc. Certification Authority","cPanel, Inc.",1.0,b'20210207000000Z',b'20210508235959Z',0,1620479589.6551728
55,*.vendum.ro,,,,,,R3,Let's Encrypt,0.0,b'20210310101002Z',b'20210608101002Z',0,1620479589.4604337
56,www.raikuten.co.jp.zuudgaqf.com,,,,,,R3,Let's Encrypt,0.0,b'20210415173552Z',b'20210714173552Z',0,1620479589.4640222
57,*.cloudfront.net,,,,,,DigiCert Global CA G2,DigiCert Inc,0.0,b'20210222000000Z',b'20220221235959Z',0,1620479589.8607948
58,abstractti.com.br,,,,,,R3,Let's Encrypt,0.0,b'20210303005640Z',b'20210601005640Z',0,1620479589.5386884
60,*.aashnamalani.com,,,,,,Let's Encrypt Authority X3,Let's Encrypt,1.0,b'20201027071742Z',b'20210125071742Z',10,1620479589.4534917
